dataset,condition,method,memory_type,history_window,T_B,seed_or_episode,AP,AUC,delta_vs_current,delta_vs_tgn
Synthetic_Hard_Benchmark,T_B=50,EdgeBank_Bounded,exact_edge_memory,regime_A_edges,50,45,0.7418045953658865,0.7118841723833979,-0.02170785075060877,0.2036061549347037
Synthetic_Hard_Benchmark,T_B=50,Random_Retrieval,non_parametric_random,snapshot_cache,50,45,0.733903908756568,0.7411282317212357,-0.0296085373599273,0.19570546832538516
Synthetic_Hard_Benchmark,T_B=50,Historical_Oracle,oracle_summary,exact_regime_A,50,45,0.7901000280372784,0.7870202767155796,0.026587581920783143,0.2519015876060956
Synthetic_Hard_Benchmark,T_B=50,Current_Only,none,current_graph,50,46,0.7629046099386579,0.7509150250910966,0.0,0.2362636574073259
Synthetic_Hard_Benchmark,T_B=50,Continuous_TGN,parametric_recurrent,all_events,50,46,0.526640952531332,0.5308996759064373,-0.2362636574073259,0.0
Synthetic_Hard_Benchmark,T_B=50,TGN_NoMemory,parametric_feedforward,current_window,50,46,0.5416114848244162,0.5947752653957359,-0.2212931251142417,0.014970532293084204
Synthetic_Hard_Benchmark,T_B=50,Historical_Retrieval,non_parametric_similarity,snapshot_cache,50,46,0.7316392934639349,0.7369779121664047,-0.03126531647472308,0.20499834093260283
Synthetic_Hard_Benchmark,T_B=50,EdgeBank_AllHistory,exact_edge_memory,all_historical_edges,50,46,0.7399805817982716,0.7074653399294943,-0.0229240281403863,0.2133396292669396
Synthetic_Hard_Benchmark,T_B=50,EdgeBank_Bounded,exact_edge_memory,regime_A_edges,50,46,0.7423937070398328,0.7129264969779989,-0.02051090289882518,0.21575275450850073
Synthetic_Hard_Benchmark,T_B=50,Random_Retrieval,non_parametric_random,snapshot_cache,50,46,0.7348235351194716,0.7414486208237752,-0.028081074819186314,0.2081825825881396
Synthetic_Hard_Benchmark,T_B=50,Historical_Oracle,oracle_summary,exact_regime_A,50,46,0.7905657828820133,0.7878035018564764,0.02766117294335535,0.26392483035068126
Synthetic_Hard_Benchmark,T_B=50,Current_Only,none,current_graph,50,47,0.762219831712867,0.7507711395392022,0.0,0.17382262314088637
Synthetic_Hard_Benchmark,T_B=50,Continuous_TGN,parametric_recurrent,all_events,50,47,0.5883972085719806,0.6141603639132518,-0.17382262314088637,0.0
Synthetic_Hard_Benchmark,T_B=50,TGN_NoMemory,parametric_feedforward,current_window,50,47,0.6426867154993913,0.6696210955436751,-0.11953311621347573,0.054289506927410636
Synthetic_Hard_Benchmark,T_B=50,Historical_Retrieval,non_parametric_similarity,snapshot_cache,50,47,0.7273293729425175,0.732209225547576,-0.034890458770349464,0.1389321643705369
Synthetic_Hard_Benchmark,T_B=50,EdgeBank_AllHistory,exact_edge_memory,all_historical_edges,50,47,0.7391421707965345,0.7068458243692287,-0.023077660916332454,0.1507449622245539
Synthetic_Hard_Benchmark,T_B=50,EdgeBank_Bounded,exact_edge_memory,regime_A_edges,50,47,0.7414342539254157,0.7125560045774909,-0.02078557778745127,0.1530370453534351
Synthetic_Hard_Benchmark,T_B=50,Random_Retrieval,non_parametric_random,snapshot_cache,50,47,0.7345015563184091,0.7415360854467813,-0.027718275394457925,0.14610434774642844
Synthetic_Hard_Benchmark,T_B=50,Historical_Oracle,oracle_summary,exact_regime_A,50,47,0.789156584184851,0.7869343326426307,0.026936752471984016,0.20075937561287038
Synthetic_Hard_Benchmark,T_B=50,Current_Only,none,current_graph,50,48,0.763081065944957,0.750905174542047,0.0,0.16304086740101664
Synthetic_Hard_Benchmark,T_B=50,Continuous_TGN,parametric_recurrent,all_events,50,48,0.6000401985439403,0.5977380945268223,-0.16304086740101664,0.0
Synthetic_Hard_Benchmark,T_B=50,TGN_NoMemory,parametric_feedforward,current_window,50,48,0.6320011288862365,0.6600276263419274,-0.13107993705872045,0.03196093034229619
Synthetic_Hard_Benchmark,T_B=50,Historical_Retrieval,non_parametric_similarity,snapshot_cache,50,48,0.7351871384356213,0.7404409258478866,-0.027893927509335614,0.13514693989168103
Synthetic_Hard_Benchmark,T_B=50,EdgeBank_AllHistory,exact_edge_memory,all_historical_edges,50,48,0.7393325833579624,0.7060200642295803,-0.02374848258699458,0.13929238481402206
Synthetic_Hard_Benchmark,T_B=50,EdgeBank_Bounded,exact_edge_memory,regime_A_edges,50,48,0.7416996245253306,0.7118337107018918,-0.02138144141962639,0.14165942598139025
Synthetic_Hard_Benchmark,T_B=50,Random_Retrieval,non_parametric_random,snapshot_cache,50,48,0.7357915468866625,0.7423162636189176,-0.027289519058294465,0.13575134834272218
Synthetic_Hard_Benchmark,T_B=50,Historical_Oracle,oracle_summary,exact_regime_A,50,48,0.789598484982152,0.7871151595260477,0.026517419037195067,0.1895582864382117
Synthetic_Hard_Benchmark,T_B=50,Current_Only,none,current_graph,50,49,0.763533172378122,0.7515588290921587,0.0,0.20317107681649305
Synthetic_Hard_Benchmark,T_B=50,Continuous_TGN,parametric_recurrent,all_events,50,49,0.560362095561629,0.5506025569762915,-0.20317107681649305,0.0
Synthetic_Hard_Benchmark,T_B=50,TGN_NoMemory,parametric_feedforward,current_window,50,49,0.5109115881843894,0.5163866043627507,-0.2526215841937326,-0.04945050737723955
Synthetic_Hard_Benchmark,T_B=50,Historical_Retrieval,non_parametric_similarity,snapshot_cache,50,49,0.7374686678914011,0.7447292070214196,-0.02606450448672093,0.17710657232977212
Synthetic_Hard_Benchmark,T_B=50,EdgeBank_AllHistory,exact_edge_memory,all_historical_edges,50,49,0.7394376388475178,0.7075566299503483,-0.02409553353060423,0.17907554328588882
Synthetic_Hard_Benchmark,T_B=50,EdgeBank_Bounded,exact_edge_memory,regime_A_edges,50,49,0.7421215387380273,0.7129967509263542,-0.021411633640094685,0.18175944317639836
Synthetic_Hard_Benchmark,T_B=50,Random_Retrieval,non_parametric_random,snapshot_cache,50,49,0.7361904169631689,0.7426435467719248,-0.027342755414953124,0.17582832140153992
Synthetic_Hard_Benchmark,T_B=50,Historical_Oracle,oracle_summary,exact_regime_A,50,49,0.7901109905718562,0.7875044457279098,0.02657781819373417,0.22974889501022722
Synthetic_Hard_Benchmark,T_B=50,Current_Only,none,current_graph,50,50,0.7642384202992645,0.7519354748873383,0.0,0.24582206498621684
Synthetic_Hard_Benchmark,T_B=50,Continuous_TGN,parametric_recurrent,all_events,50,50,0.5184163553130476,0.5261379787719568,-0.24582206498621684,0.0
Synthetic_Hard_Benchmark,T_B=50,TGN_NoMemory,parametric_feedforward,current_window,50,50,0.6497539458541486,0.6816696939399528,-0.11448447444511589,0.13133759054110095
Synthetic_Hard_Benchmark,T_B=50,Historical_Retrieval,non_parametric_similarity,snapshot_cache,50,50,0.7337430246803107,0.7389537313395834,-0.030495395618953758,0.21532666936726308
Synthetic_Hard_Benchmark,T_B=50,EdgeBank_AllHistory,exact_edge_memory,all_historical_edges,50,50,0.7401701256191027,0.7072387063639299,-0.024068294680161806,0.22175377030605503
Synthetic_Hard_Benchmark,T_B=50,EdgeBank_Bounded,exact_edge_memory,regime_A_edges,50,50,0.742371834052236,0.7118799775221905,-0.02186658624702853,0.2239554787391883
Synthetic_Hard_Benchmark,T_B=50,Random_Retrieval,non_parametric_random,snapshot_cache,50,50,0.7353560601011114,0.7421761924750139,-0.028882360198153045,0.2169397047880638
Synthetic_Hard_Benchmark,T_B=50,Historical_Oracle,oracle_summary,exact_regime_A,50,50,0.7910437057002095,0.7877120604469595,0.026805285400945067,0.2726273503871619
Synthetic_Hard_Benchmark,T_B=50,Current_Only,none,current_graph,50,51,0.7643868303503356,0.7524044077462878,0.0,0.23062033245377844
Synthetic_Hard_Benchmark,T_B=50,Continuous_TGN,parametric_recurrent,all_events,50,51,0.5337664978965572,0.5671858466653541,-0.23062033245377844,0.0
Synthetic_Hard_Benchmark,T_B=50,TGN_NoMemory,parametric_feedforward,current_window,50,51,0.6519375889431749,0.6830977108765857,-0.11244924140716073,0.11817109104661772
Synthetic_Hard_Benchmark,T_B=50,Historical_Retrieval,non_parametric_similarity,snapshot_cache,50,51,0.7372793721746127,0.7435283884356417,-0.02710745817572291,0.20351287427805553
Synthetic_Hard_Benchmark,T_B=50,EdgeBank_AllHistory,exact_edge_memory,all_historical_edges,50,51,0.7409588800572264,0.7084385823248925,-0.02342795029310918,0.20719238216066926
Synthetic_Hard_Benchmark,T_B=50,EdgeBank_Bounded,exact_edge_memory,regime_A_edges,50,51,0.7433278752180797,0.7134450483643772,-0.021058955132255863,0.20956137732152258
Synthetic_Hard_Benchmark,T_B=50,Random_Retrieval,non_parametric_random,snapshot_cache,50,51,0.7365015074187893,0.742663655607966,-0.02788532293154633,0.2027350095222321
Synthetic_Hard_Benchmark,T_B=50,Historical_Oracle,oracle_summary,exact_regime_A,50,51,0.7905659877289386,0.787940808789579,0.02617915737860299,0.25679948983238143
